Time (Seconds),Power (W),Temperature_Center(deg. C),Temperature__Middle(deg. C),Temperature_Surface(deg. C)
0,9.3056E-06,25.7864479165889,25.7827260328683,25.7865096788676
1,9.3058E-06,25.7886672411355,25.7827260328683,25.7865096788676
2,9.3058E-06,25.7902812953511,25.7827260328683,25.7865096788676
3,9.3057E-06,25.7882637275815,25.784763380714,25.7865096788676
4,9.3056E-06,25.7844303488193,25.784763380714,25.7865096788676
5,9.3057E-06,25.7872549436967,25.784763380714,25.7865096788676
6,9.3059E-06,25.7916935927898,25.7868007285598,25.7865096788676
7,9.3057E-06,25.7878602140276,25.7888380764056,25.7865096788676
8,9.3058E-06,25.7892725114663,25.7888380764056,25.7865096788676
9,9.3057E-06,25.7872549436967,25.784763380714,25.7865096788676
10,9.3056E-06,25.786246159812,25.7868007285598,25.7865096788676
11,9.3058E-06,25.7896760250203,25.7868007285598,25.7865096788676
12,9.3059E-06,25.791088322459,25.784763380714,25.7865096788676
13,9.3061E-06,25.7967375122139,25.7827260328683,25.7865096788676
14,9.3057E-06,25.7870531869198,25.784763380714,25.7865096788676
15,9.3058E-06,25.7898777817972,25.784763380714,25.7865096788676
16,9.3058E-06,25.7902812953511,25.7908754242513,25.7865096788676
17,9.3059E-06,25.7927023766746,25.784763380714,25.7865096788676
18,9.3058E-06,25.7896760250203,25.7868007285598,25.7865096788676
19,9.306E-06,25.7935094037825,25.7929127720971,25.7865096788676
20,9.3056E-06,25.786044403035,25.7806886850225,25.7865096788676
21,9.3058E-06,25.7898777817972,25.7806886850225,25.7865096788676
22,9.3057E-06,25.7864479165889,25.7868007285598,25.7865096788676
23,9.3059E-06,25.7918953495668,25.7908754242513,25.7865096788676
24,9.3058E-06,25.7886672411355,25.7888380764056,25.7865096788676
25,9.3058E-06,25.7898777817972,25.784763380714,25.7865096788676
26,9.3058E-06,25.7900795385742,25.7827260328683,25.7865096788676
27,9.3058E-06,25.7906848089051,25.7827260328683,25.7865096788676
28,9.3055E-06,25.7842285920423,25.784763380714,25.7865096788676
29,1.9525E-05,25.7826145378267,25.7827260328683,25.7865096788676
30,2.064E-05,25.7834215649345,25.776613989331,25.7865096788676
31,2.064E-05,25.786246159812,25.7929127720971,25.7865096788676
32,2.064E-05,25.7844303488193,25.7888380764056,25.7865096788676
33,2.0639E-05,25.7779741319566,25.7888380764056,25.7865096788676
34,2.064E-05,25.7848338623732,25.7888380764056,25.7865096788676
35,2.064E-05,25.7852373759272,25.7827260328683,25.7865096788676
37,2.064E-05,25.7824127810497,25.7888380764056,25.7865096788676
38,2.0639E-05,25.7795881861723,25.784763380714,25.7865096788676
39,2.064E-05,25.7828162946036,25.7908754242513,25.7865096788676
40,2.0639E-05,25.7803952132801,25.7868007285598,25.7865096788676
41,2.0639E-05,25.7775706184027,25.7868007285598,25.7865096788676
42,2.064E-05,25.7834215649345,25.7949501199429,25.7865096788676
43,2.064E-05,25.7830180513806,25.7888380764056,25.7865096788676
44,2.0639E-05,25.781202240388,25.7888380764056,25.7865096788676
45,2.064E-05,25.7836233217115,25.7908754242513,25.7865096788676
46,2.064E-05,25.786246159812,25.7868007285598,25.7865096788676
47,2.064E-05,25.7814039971649,25.7929127720971,25.7865096788676
48,2.064E-05,25.7830180513806,25.7888380764056,25.7865096788676
49,2.064E-05,25.7834215649345,25.7868007285598,25.7865096788676
50,2.064E-05,25.7824127810497,25.7868007285598,25.7865096788676
51,2.064E-05,25.7820092674958,25.7868007285598,25.7865096788676
52,2.064E-05,25.7820092674958,25.7868007285598,25.7865096788676
53,2.064E-05,25.7824127810497,25.7868007285598,25.7865096788676
54,2.064E-05,25.7844303488193,25.7888380764056,25.7865096788676
55,2.0639E-05,25.7779741319566,25.7949501199429,25.7865096788676
56,2.064E-05,25.7834215649345,25.7908754242513,25.7865096788676
57,2.064E-05,25.7820092674958,25.7888380764056,25.7865096788676
58,2.064E-05,25.7830180513806,25.784763380714,25.7865096788676
